,Unnamed: 0,city,match,opponent,result,season,stadium,winner,final_result,win,lose
0,0,Hyderabad,Final,Mumbai Indians,Mumbai Indians won by 1 run,2019,Rajiv Gandhi Intl. Cricket Stadium,Mumbai Indians,lost,0,1
1,1,Visakhapatnam,Qualifier 2,Delhi Capitals,Chennai Super Kings won by 6 wickets,2019,ACA-VDCA Stadium,Chennai Super Kings,won,1,0
2,2,Chennai,Qualifier 1,Mumbai Indians,Mumbai Indians won by 6 wickets,2019,M. A. Chidambaram Stadium,Mumbai Indians,lost,0,1
3,3,Mohali,Match 55,Kings XI Punjab,Kings XI Punjab won by 6 wickets,2019,IS Bindra Stadium,Kings XI Punjab,lost,0,1
4,4,Chennai,Match 50,Delhi Capitals,Chennai Super Kings won by 80 runs,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
5,5,Chennai,Match 44,Mumbai Indians,Mumbai Indians won by 46 runs,2019,M. A. Chidambaram Stadium,Mumbai Indians,lost,0,1
6,6,Navi Mumbai,Final,Mumbai Indians,Chennai Super Kings won by 22 runs,2010,DY Patil Stadium,Chennai Super Kings,won,1,0
7,7,Kolkata,Final,Mumbai Indians,Mumbai Indians won by 23 runs,2013,Eden Gardens,Mumbai Indians,lost,0,1
8,8,Mumbai,Final,Sunrisers Hyderabad,Chennai Super Kings won by 8 wickets,2018,Wankhede Stadium,Chennai Super Kings,won,1,0
9,9,Kolkata,Final,Mumbai Indians,Mumbai Indians won by 41 runs,2015,Eden Gardens,Mumbai Indians,lost,0,1
10,10,Chennai,Final,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets,2012,M. A. Chidambaram Stadium,Kolkata Knight Riders,lost,0,1
11,11,Mumbai,Qualifier 2,Kings XI Punjab,Kings XI Punjab won by 24 runs,2014,Wankhede Stadium,Kings XI Punjab,lost,0,1
12,12,Chennai,Match 41,Sunrisers Hyderabad,Chennai Super Kings won by 6 wickets,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
13,13,Bengaluru,Match 39,Royal Challengers Bangalore,Royal Challengers Bangalore won by 1 run,2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,lost,0,1
14,14,Hyderabad,Match 33,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 wickets,2019,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,lost,0,1
15,15,Navi Mumbai,2nd Semi-Final,Deccan Chargers,Chennai Super Kings won by 38 runs,2010,DY Patil Stadium,Chennai Super Kings,won,1,0
16,16,Dharamsala,Match 54,Kings XI Punjab,Chennai Super Kings won by 6 wickets,2010,HPCA Stadium,Chennai Super Kings,won,1,0
17,17,Delhi,Qualifier 1,Mumbai Indians,Chennai Super Kings won by 48 runs,2013,Feroz Shah Kotla Ground,Chennai Super Kings,won,1,0
18,18,Bengaluru,Match 70,Royal Challengers Bangalore,Royal Challengers Bangalore won by 24 runs,2013,M. Chinnaswamy Stadium,Royal Challengers Bangalore,lost,0,1
19,19,Chennai,Match 64,Delhi Capitals,Chennai Super Kings won by 33 runs,2013,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
20,20,Mumbai,Qualifier 1,Sunrisers Hyderabad,Chennai Super Kings won by 2 wickets,2018,Wankhede Stadium,Chennai Super Kings,won,1,0
21,21,Pune,Match 56,Kings XI Punjab,Chennai Super Kings won by 5 wickets,2018,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
22,22,Delhi,Match 52,Delhi Capitals,Delhi Capitals won by 34 runs,2018,Feroz Shah Kotla Ground,Delhi Capitals,lost,0,1
23,23,Ranchi,Qualifier 2,Royal Challengers Bangalore,Chennai Super Kings won by 3 wickets,2015,JSCA International Cricket Stadium,Chennai Super Kings,won,1,0
24,24,Mumbai,Qualifier 1,Mumbai Indians,Mumbai Indians won by 25 runs,2015,Wankhede Stadium,Mumbai Indians,lost,0,1
25,25,Mohali,Match 53,Kings XI Punjab,Chennai Super Kings won by 7 wickets,2015,IS Bindra Stadium,Chennai Super Kings,won,1,0
26,26,Naya Raipur,Match 49,Delhi Capitals,Delhi Capitals won by 6 wickets,2015,Shaheed Veer Narayan Singh International Cricket Stadium,Delhi Capitals,lost,0,1
27,27,Chennai,Qualifier 2,Delhi Capitals,Chennai Super Kings won by 86 runs,2012,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
28,28,Bengaluru,Eliminator,Mumbai Indians,Chennai Super Kings won by 38 runs,2012,M. Chinnaswamy Stadium,Chennai Super Kings,won,1,0
29,29,Dharamsala,Match 66,Kings XI Punjab,Kings XI Punjab won by 6 wickets,2012,HPCA Stadium,Kings XI Punjab,lost,0,1
30,30,Kolkata,Match 63,Kolkata Knight Riders,Chennai Super Kings won by 5 wickets,2012,Eden Gardens,Chennai Super Kings,won,1,0
31,31,Mumbai,Eliminator,Mumbai Indians,Chennai Super Kings won by 7 wickets,2014,Brabourne Stadium,Chennai Super Kings,won,1,0
32,32,Bengaluru,Match 53,Royal Challengers Bangalore,Chennai Super Kings won by 8 wickets,2014,M. Chinnaswamy Stadium,Chennai Super Kings,won,1,0
33,33,Ranchi,Match 50,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 wickets,2014,JSCA International Cricket Stadium,Sunrisers Hyderabad,lost,0,1
34,34,Kolkata,Match 47,Kolkata Knight Riders,Kolkata Knight Riders won by 8 wickets,2014,Eden Gardens,Kolkata Knight Riders,lost,0,1
35,35,Kolkata,Match 29,Kolkata Knight Riders,Chennai Super Kings won by 5 wickets,2019,Eden Gardens,Chennai Super Kings,won,1,0
36,36,Jaipur,Match 25,Rajasthan Royals,Chennai Super Kings won by 4 wickets,2019,Sawai Mansingh Stadium,Chennai Super Kings,won,1,0
37,37,Chennai,Match 23,Kolkata Knight Riders,Chennai Super Kings won by 7 wickets,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
38,38,Chennai,Match 18,Kings XI Punjab,Chennai Super Kings won by 22 runs,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
39,39,Chennai,Match 50,Delhi Capitals,Delhi Capitals won by 6 wickets,2010,M. A. Chidambaram Stadium,Delhi Capitals,lost,0,1
40,40,Chennai,Match 48,Kolkata Knight Riders,Chennai Super Kings won by 9 wickets,2010,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
41,41,Nagpur,Match 42,Deccan Chargers,Deccan Chargers won by 6 wickets,2010,Vidarbha Cricket Association Stadium,Deccan Chargers,lost,0,1
42,42,Jaipur,Match 61,Rajasthan Royals,Rajasthan Royals won by 5 wickets,2013,Sawai Mansingh Stadium,Rajasthan Royals,lost,0,1
43,43,Hyderabad,Match 54,Sunrisers Hyderabad,Chennai Super Kings won by 77 runs,2013,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings,won,1,0
44,44,Mumbai,Match 49,Mumbai Indians,Mumbai Indians won by 60 runs,2013,Wankhede Stadium,Mumbai Indians,lost,0,1
45,45,Johannesburg,2nd Semi-Final,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 wickets,2009,New Wanderers Stadium,Royal Challengers Bangalore,lost,0,1
46,46,Chennai,Final,Royal Challengers Bangalore,Chennai Super Kings won by 58 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
47,47,Navi Mumbai,Final,Rajasthan Royals,Rajasthan Royals won by 3 wickets,2008,DY Patil Stadium,Rajasthan Royals,lost,0,1
48,48,Pune,Match 46,Sunrisers Hyderabad,Chennai Super Kings won by 8 wickets,2018,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
49,49,Jaipur,Match 43,Rajasthan Royals,Rajasthan Royals won by 4 wickets,2018,Sawai Mansingh Stadium,Rajasthan Royals,lost,0,1
50,50,Chennai,Match 47,Rajasthan Royals,Chennai Super Kings won by 12 runs,2015,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
51,51,Chennai,Match 43,Mumbai Indians,Mumbai Indians won by 6 wickets,2015,M. A. Chidambaram Stadium,Mumbai Indians,lost,0,1
52,52,Chennai,Match 37,Royal Challengers Bangalore,Chennai Super Kings won by 24 runs,2015,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
53,53,Chennai,Match 59,Delhi Capitals,Chennai Super Kings won by 9 wickets,2012,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
54,54,Jaipur,Match 56,Rajasthan Royals,Chennai Super Kings won by 4 wickets,2012,Sawai Mansingh Stadium,Chennai Super Kings,won,1,0
55,55,Mumbai,Match 49,Mumbai Indians,Mumbai Indians won by 2 wickets,2012,Wankhede Stadium,Mumbai Indians,lost,0,1
56,56,Ranchi,Match 42,Royal Challengers Bangalore,Royal Challengers Bangalore won by 5 wickets,2014,JSCA International Cricket Stadium,Royal Challengers Bangalore,lost,0,1
57,57,Ranchi,Match 37,Rajasthan Royals,Chennai Super Kings won by 5 wickets,2014,JSCA International Cricket Stadium,Chennai Super Kings,won,1,0
58,58,Mumbai,Match 33,Mumbai Indians,Chennai Super Kings won by 4 wickets,2014,Wankhede Stadium,Chennai Super Kings,won,1,0
59,59,Mumbai,Match 15,Mumbai Indians,Mumbai Indians won by 37 runs,2019,Wankhede Stadium,Mumbai Indians,lost,0,1
60,60,Chennai,Match 12,Rajasthan Royals,Chennai Super Kings won by 8 runs,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
61,61,Delhi,Match 5,Delhi Capitals,Chennai Super Kings won by 6 wickets,2019,Feroz Shah Kotla Ground,Chennai Super Kings,won,1,0
62,62,Chennai,Match 37,Mumbai Indians,Chennai Super Kings won by 24 runs,2010,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
63,63,Chennai,Match 32,Rajasthan Royals,Chennai Super Kings won by 23 runs,2010,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
64,64,Chennai,Match 28,Royal Challengers Bangalore,Chennai Super Kings won by 5 wickets,2010,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
65,65,Chennai,Match 45,Kings XI Punjab,Chennai Super Kings won by 15 runs,2013,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
66,66,Pune,Match 42,Pune Warriors India,Chennai Super Kings won by 37 runs,2013,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
67,67,Chennai,Match 38,Kolkata Knight Riders,Chennai Super Kings won by 14 runs,2013,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
68,68,Durban,Match 54,Kings XI Punjab,Chennai Super Kings won by 24 runs,2009,Kingsmead,Chennai Super Kings,won,1,0
69,69,Centurion,Match 51,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets,2009,Supersport Park,Kolkata Knight Riders,lost,0,1
70,70,Port Elizabeth,Match 47,Mumbai Indians,Chennai Super Kings won by 7 wickets,2009,St George's Park,Chennai Super Kings,won,1,0
71,71,Mumbai,Qualifier 1,Royal Challengers Bangalore,Chennai Super Kings won by 6 wickets,2011,Wankhede Stadium,Chennai Super Kings,won,1,0
72,72,Bengaluru,Match 69,Royal Challengers Bangalore,Royal Challengers Bangalore won by 8 wickets,2011,M. Chinnaswamy Stadium,Royal Challengers Bangalore,lost,0,1
73,73,Chennai,Match 64,Kochi Tuskers Kerala,Chennai Super Kings won by 11 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
74,74,Mumbai,2nd Semi-Final,Kings XI Punjab,Chennai Super Kings won by 9 wickets,2008,Wankhede Stadium,Chennai Super Kings,won,1,0
75,75,Hyderabad,Match 54,Deccan Chargers,Chennai Super Kings won by 7 wickets,2008,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings,won,1,0
76,76,Chennai,Match 49,Rajasthan Royals,Rajasthan Royals won by 10 runs,2008,M. A. Chidambaram Stadium,Rajasthan Royals,lost,0,1
77,77,Pune,Match 35,Royal Challengers Bangalore,Chennai Super Kings won by 6 wickets,2018,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
78,78,Kolkata,Match 33,Kolkata Knight Riders,Kolkata Knight Riders won by 6 wickets,2018,Eden Gardens,Kolkata Knight Riders,lost,0,1
79,79,Pune,Match 30,Delhi Capitals,Chennai Super Kings won by 13 runs,2018,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
80,80,Hyderabad,Match 34,Sunrisers Hyderabad,Sunrisers Hyderabad won by 22 runs,2015,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,lost,0,1
81,81,Kolkata,Match 30,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets,2015,Eden Gardens,Kolkata Knight Riders,lost,0,1
82,82,Chennai,Match 28,Kolkata Knight Riders,Chennai Super Kings won by 2 runs,2015,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
83,83,Chennai,Match 24,Kings XI Punjab,Chennai Super Kings won by 97 runs,2015,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
84,84,Chennai,Match 46,Deccan Chargers,Chennai Super Kings won by 10 runs,2012,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
85,85,Chennai,Match 41,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets,2012,M. A. Chidambaram Stadium,Kolkata Knight Riders,lost,0,1
86,86,Chennai,Match 37,Kings XI Punjab,Kings XI Punjab won by 7 runs,2012,M. A. Chidambaram Stadium,Kings XI Punjab,lost,0,1
87,87,Cuttack,Match 29,Kings XI Punjab,Kings XI Punjab won by 44 runs,2014,Barabati Stadium,Kings XI Punjab,lost,0,1
88,88,Delhi,Match 26,Delhi Capitals,Chennai Super Kings won by 8 wickets,2014,Feroz Shah Kotla Ground,Chennai Super Kings,won,1,0
89,89,Ranchi,Match 21,Kolkata Knight Riders,Chennai Super Kings won by 34 runs,2014,JSCA International Cricket Stadium,Chennai Super Kings,won,1,0
90,90,Chennai,Match 1,Royal Challengers Bangalore,Chennai Super Kings won by 7 wickets,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
91,91,Ahmedabad,Match 24,Rajasthan Royals,Rajasthan Royals won by 17 runs,2010,Sardar Patel Stadium,Rajasthan Royals,lost,0,1
92,92,Mumbai,Match 21,Mumbai Indians,Mumbai Indians won by 5 wickets,2010,Brabourne Stadium,Mumbai Indians,lost,0,1
93,93,Bengaluru,Match 18,Royal Challengers Bangalore,Royal Challengers Bangalore won by 36 runs,2010,M. Chinnaswamy Stadium,Royal Challengers Bangalore,lost,0,1
94,94,Chennai,Match 34,Sunrisers Hyderabad,Chennai Super Kings won by 5 wickets,2013,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
95,95,Chennai,Match 30,Rajasthan Royals,Chennai Super Kings won by 5 wickets,2013,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
96,96,Durban,Match 44,Royal Challengers Bangalore,Royal Challengers Bangalore won by 2 wickets,2009,Kingsmead,Royal Challengers Bangalore,lost,0,1
97,97,Kimberley,Match 37,Rajasthan Royals,Chennai Super Kings won by 7 wickets,2009,De Beers Diamond Oval,Chennai Super Kings,won,1,0
98,98,Chennai,Match 56,Delhi Capitals,Chennai Super Kings won by 18 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
99,99,Jaipur,Match 52,Rajasthan Royals,Chennai Super Kings won by 63 runs,2011,Sawai Mansingh Stadium,Chennai Super Kings,won,1,0
100,100,Kolkata,Match 48,Kolkata Knight Riders,KKR won by 10 runs (D/L method),2011,Eden Gardens,KKR,lost,0,1
101,101,Chennai,Match 46,Royal Challengers Bangalore,Royal Challengers Bangalore won by 14 runs,2008,M. A. Chidambaram Stadium,Royal Challengers Bangalore,lost,0,1
102,102,Kolkata,Match 41,Kolkata Knight Riders,CSK won by 3 runs (D/L method),2008,Eden Gardens,CSK,lost,0,1
103,103,Mumbai,Match 36,Mumbai Indians,Mumbai Indians won by 9 wickets,2008,Wankhede Stadium,Mumbai Indians,lost,0,1
104,104,Pune,Match 27,Mumbai Indians,Mumbai Indians won by 8 wickets,2018,Maharashtra Cricket Association's International Stadium,Mumbai Indians,lost,0,1
105,105,Bengaluru,Match 24,Royal Challengers Bangalore,Chennai Super Kings won by 5 wickets,2018,M. Chinnaswamy Stadium,Chennai Super Kings,won,1,0
106,106,Hyderabad,Match 20,Sunrisers Hyderabad,Chennai Super Kings won by 4 runs,2018,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings,won,1,0
107,107,Bengaluru,Match 20,Royal Challengers Bangalore,Chennai Super Kings won by 27 runs,2015,M. Chinnaswamy Stadium,Chennai Super Kings,won,1,0
108,108,Ahmedabad,Match 15,Rajasthan Royals,Rajasthan Royals won by 8 wickets,2015,Sardar Patel Stadium,Rajasthan Royals,lost,0,1
109,109,Mumbai,Match 12,Mumbai Indians,Chennai Super Kings won by 6 wickets,2015,Wankhede Stadium,Chennai Super Kings,won,1,0
110,110,Bengaluru,Match 34,Royal Challengers Bangalore,Match abandoned without a ball bowled,2012,M. Chinnaswamy Stadium,Match abandoned without a ball bowled,lost,0,1
111,111,Chennai,Match 26,Rajasthan Royals,Chennai Super Kings won by 7 wickets,2012,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
112,112,Chennai,Match 24,Pune Warriors India,Chennai Super Kings won by 13 runs,2012,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
113,113,Sharjah Cricket Stadium,Match 17,Sunrisers Hyderabad,Chennai Super Kings won by 5 wickets,2014,18:30 LOCAL,Chennai Super Kings,won,1,0
114,114,Dubai International Cricket Stadium,Match 13,Mumbai Indians,Chennai Super Kings won by 7 wickets,2014,18:30 LOCAL,Chennai Super Kings,won,1,0
115,115,Dubai International Cricket Stadium,Match 10,Rajasthan Royals,Chennai Super Kings won by 7 runs,2014,18:30 LOCAL,Chennai Super Kings,won,1,0
116,116,Chennai,Match 16,Kings XI Punjab,Kings XI Punjab won the 1-over eliminator,2010,M. A. Chidambaram Stadium,Kings XI Punjab,lost,0,1
117,117,Delhi,Match 11,Delhi Capitals,Chennai Super Kings won by 5 wickets,2010,Feroz Shah Kotla Ground,Chennai Super Kings,won,1,0
118,118,Kolkata,Match 8,Kolkata Knight Riders,Chennai Super Kings won by 55 runs,2010,Eden Gardens,Chennai Super Kings,won,1,0
119,119,Chennai,Match 5,Deccan Chargers,Deccan Chargers won by 31 runs,2010,M. A. Chidambaram Stadium,Deccan Chargers,lost,0,1
120,120,Kolkata,Match 26,Kolkata Knight Riders,Chennai Super Kings won by 4 wickets,2013,Eden Gardens,Chennai Super Kings,won,1,0
121,121,Delhi,Match 24,Delhi Capitals,Chennai Super Kings won by 86 runs,2013,Feroz Shah Kotla Ground,Chennai Super Kings,won,1,0
122,122,Chennai,Match 19,Pune Warriors India,Pune Warriors India won by 24 runs,2013,M. A. Chidambaram Stadium,Pune Warriors India,lost,0,1
123,123,Chennai,Match 16,Royal Challengers Bangalore,Chennai Super Kings won by 4 wickets,2013,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
124,124,Centurion,Match 34,Kings XI Punjab,CSK won by 12 runs (D/L method),2009,Supersport Park,CSK,lost,0,1
125,125,East London,Match 29,Deccan Chargers,Chennai Super Kings won by 78 runs,2009,Buffalo Park,Chennai Super Kings,won,1,0
126,126,Johannesburg,Match 26,Delhi Capitals,Chennai Super Kings won by 18 runs,2009,New Wanderers Stadium,Chennai Super Kings,won,1,0
127,127,Chennai,Match 43,Rajasthan Royals,Chennai Super Kings won by 8 wickets,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
128,128,Chennai,Match 39,Deccan Chargers,Chennai Super Kings won by 19 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
129,129,Navi Mumbai,Match 31,Pune Warriors India,Chennai Super Kings won by 8 wickets,2011,DY Patil Stadium,Chennai Super Kings,won,1,0
130,130,Chennai,Match 31,Kings XI Punjab,Chennai Super Kings won by 18 runs,2008,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
131,131,Delhi,Match 28,Delhi Capitals,Chennai Super Kings won by 4 wickets,2008,Feroz Shah Kotla Ground,Chennai Super Kings,won,1,0
132,132,Chennai,Match 26,Deccan Chargers,Deccan Chargers won by 7 wickets,2008,M. A. Chidambaram Stadium,Deccan Chargers,lost,0,1
133,133,Pune,Match 17,Rajasthan Royals,Chennai Super Kings won by 64 runs,2018,Maharashtra Cricket Association's International Stadium,Chennai Super Kings,won,1,0
134,134,Mohali,Match 12,Kings XI Punjab,Kings XI Punjab won by 4 runs,2018,IS Bindra Stadium,Kings XI Punjab,lost,0,1
135,135,Chennai,Match 5,Kolkata Knight Riders,Chennai Super Kings won by 5 wickets,2018,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
136,136,Chennai,Match 4,Sunrisers Hyderabad,Chennai Super Kings won by 45 runs,2015,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
137,137,Chennai,Match 2,Delhi Capitals,Chennai Super Kings won by 1 run,2015,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
138,138,Pune,Match 16,Pune Warriors India,Pune Warriors India won by 7 wickets,2012,Maharashtra Cricket Association's International Stadium,Pune Warriors India,lost,0,1
139,139,Chennai,Match 13,Royal Challengers Bangalore,Chennai Super Kings won by 5 wickets,2012,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
140,140,Delhi,Match 11,Delhi Capitals,Delhi Capitals won by 8 wickets,2012,Feroz Shah Kotla Ground,Delhi Capitals,lost,0,1
141,141,Visakhapatnam,Match 6,Deccan Chargers,Chennai Super Kings won by 74 runs,2012,ACA-VDCA Stadium,Chennai Super Kings,won,1,0
142,142,Zayed Cricket Stadium,Match 8,Delhi Capitals,Chennai Super Kings won by 93 runs,2014,18:30 LOCAL,Chennai Super Kings,won,1,0
143,143,Zayed Cricket Stadium,Match 3,Kings XI Punjab,Kings XI Punjab won by 6 wickets,2014,14:30 LOCAL,Kings XI Punjab,lost,0,1
144,144,Mohali,Match 11,Kings XI Punjab,Chennai Super Kings won by 10 wickets,2013,IS Bindra Stadium,Chennai Super Kings,won,1,0
145,145,Chennai,Match 5,Mumbai Indians,Mumbai Indians won by 9 runs,2013,M. A. Chidambaram Stadium,Mumbai Indians,lost,0,1
146,146,Centurion,Match 22,Rajasthan Royals,Chennai Super Kings won by 38 runs,2009,Supersport Park,Chennai Super Kings,won,1,0
147,147,Durban,Match 16,Deccan Chargers,Deccan Chargers won by 6 wickets,2009,Kingsmead,Deccan Chargers,lost,0,1
148,148,Chennai,Match 29,Pune Warriors India,Chennai Super Kings won by 25 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
149,149,Mumbai,Match 25,Mumbai Indians,Mumbai Indians won by 8 runs,2011,Wankhede Stadium,Mumbai Indians,lost,0,1
150,150,Kochi,Match 18,Kochi Tuskers Kerala,KTK won by 7 wickets (D/L method),2011,Jawaharlal Nehru Stadium,KTK,lost,0,1
151,151,Jaipur,Match 24,Rajasthan Royals,Rajasthan Royals won by 8 wickets,2008,Sawai Mansingh Stadium,Rajasthan Royals,lost,0,1
152,152,Chennai,Match 20,Delhi Capitals,Delhi Capitals won by 8 wickets,2008,M. A. Chidambaram Stadium,Delhi Capitals,lost,0,1
153,153,Bengaluru,Match 15,Royal Challengers Bangalore,Chennai Super Kings won by 13 runs,2008,M. Chinnaswamy Stadium,Chennai Super Kings,won,1,0
154,154,Mumbai,Match 1,Mumbai Indians,Chennai Super Kings won by 1 wicket,2018,Wankhede Stadium,Chennai Super Kings,won,1,0
155,155,Chennai,Match 1,Mumbai Indians,Mumbai Indians won by 8 wickets,2012,M. A. Chidambaram Stadium,Mumbai Indians,lost,0,1
156,156,Cape Town,Match 13,Kolkata Knight Riders,Match abandoned without a ball bowled,2009,Newlands,Match abandoned without a ball bowled,lost,0,1
157,157,Durban,Match 9,Delhi Capitals,Delhi Capitals won by 9 runs,2009,Kingsmead,Delhi Capitals,lost,0,1
158,158,Port Elizabeth,Match 5,Royal Challengers Bangalore,Chennai Super Kings won by 92 runs,2009,St George's Park,Chennai Super Kings,won,1,0
159,159,Chennai,Match 14,Royal Challengers Bangalore,Chennai Super Kings won by 21 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
160,160,Mohali,Match 9,Kings XI Punjab,Kings XI Punjab won by 6 wickets,2011,IS Bindra Stadium,Kings XI Punjab,lost,0,1
161,161,Chennai,Match 11,Kolkata Knight Riders,Chennai Super Kings won by 9 wickets,2008,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
162,162,Chennai,Match 8,Mumbai Indians,Chennai Super Kings won by 6 runs,2008,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
163,163,Mohali,Match 2,Kings XI Punjab,Chennai Super Kings won by 33 runs,2008,IS Bindra Stadium,Chennai Super Kings,won,1,0
164,164,Cape Town,Match 1,Mumbai Indians,Mumbai Indians won by 19 runs,2009,Newlands,Mumbai Indians,lost,0,1
165,165,Chennai,Match 1,Kolkata Knight Riders,Chennai Super Kings won by 2 runs,2011,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
